"ID","NOM","NOM_M","INSEE_COM","STATUT","POPULATION","INSEE_CAN","INSEE_ARR","INSEE_DEP","INSEE_REG","SIREN_EPCI"
"COMMUNE_0000000009749113","Saint-Trivier-de-Courtes","SAINT-TRIVIER-DE-COURTES","01388","Commune simple",1116,"17","2","01","84","200071751"
"COMMUNE_0000000009751734","Marchamp","MARCHAMP","01233","Commune simple",130,"11","1","01","84","240100883"
"COMMUNE_0000000009750691","Boyeux-Saint-Jérôme","BOYEUX-SAINT-JEROME","01056","Commune simple",351,"16","4","01","84","200029999"
"COMMUNE_0000000009749515","Ornex","ORNEX","01281","Commune simple",4591,"19","3","01","84","240100750"
"COMMUNE_0000000009749735","Belleydoux","BELLEYDOUX","01035","Commune simple",308,"14","4","01","84","200042935"
"COMMUNE_0000000009749968","Ceyzériat","CEYZERIAT","01072","Commune simple",3202,"07","2","01","84","200071751"
"COMMUNE_0000000009750940","Saint-Denis-en-Bugey","SAINT-DENIS-EN-BUGEY","01345","Commune simple",2245,"01","1","01","84","240100883"
"COMMUNE_0000000009750966","Saint-Bernard","SAINT-BERNARD","01339","Commune simple",1484,"21","2","01","84","200042497"
"COMMUNE_0000000009751729","Saint-Germain-les-Paroisses","SAINT-GERMAIN-LES-PAROISSES","01358","Commune simple",426,"04","1","01","84","200040350"
"COMMUNE_0000000009749549","Montrevel-en-Bresse","MONTREVEL-EN-BRESSE","01266","Commune simple",2576,"02","2","01","84","200071751"
"COMMUNE_0000000009750215","Chevillard","CHEVILLARD","01101","Commune simple",152,"10","4","01","84","200042935"
"COMMUNE_0000000009749336","Jayat","JAYAT","01196","Commune simple",1241,"02","2","01","84","200071751"
"COMMUNE_0000000009749293","Mijoux","MIJOUX","01247","Commune simple",299,"20","3","01","84","240100750"
"COMMUNE_0000000009749751","Viriat","VIRIAT","01451","Commune simple",6665,"05","2","01","84","200071751"
"COMMUNE_0000000009750942","Bettant","BETTANT","01041","Commune simple",748,"01","1","01","84","240100883"
"COMMUNE_0000000009749975","Vonnas","VONNAS","01457","Commune simple",3198,"23","2","01","84","200070555"
"COMMUNE_0000000009750476","Châtillon-sur-Chalaronne","CHATILLON-SUR-CHALARONNE","01093","Commune simple",4968,"08","2","01","84","200069193"
"COMMUNE_0000000009750697","Villette-sur-Ain","VILLETTE-SUR-AIN","01449","Commune simple",760,"07","2","01","84","200069193"
"COMMUNE_0000000009750938","Oncieu","ONCIEU","01279","Commune simple",77,"01","1","01","84","240100883"
"COMMUNE_0000000009750220","Ceignes","CEIGNES","01067","Commune simple",259,"16","4","01","84","200042935"
"COMMUNE_0000000009750226","Certines","CERTINES","01069","Commune simple",1514,"07","2","01","84","200071751"
"COMMUNE_0000000009749753","Polliat","POLLIAT","01301","Commune simple",2606,"02","2","01","84","200071751"
"COMMUNE_0000000009749119","Reyssouze","REYSSOUZE","01323","Commune simple",1018,"17","2","01","84","200071371"
"COMMUNE_0000000009750241","Thoissey","THOISSEY","01420","Commune simple",1664,"08","2","01","84","200070118"
"COMMUNE_0000000009750459","Poncin","PONCIN","01303","Commune simple",1696,"16","4","01","84","200029999"
"COMMUNE_0000000009750919","Seyssel","SEYSSEL","01407","Commune simple",1006,"10","1","01","84","200070852"
"COMMUNE_0000000009750953","Saint-Marcel","SAINT-MARCEL","01371","Commune simple",1221,"22","2","01","84","200069193"
"COMMUNE_0000000009751469","Saint-Maurice-de-Beynost","SAINT-MAURICE-DE-BEYNOST","01376","Commune simple",4066,"13","2","01","84","240100800"
